Word,Clue
LOM,Greek goddess of mischief
LON,Had a meal
LOO,Had some food
LOP,Munched
LOS,Took as food
LOT,Took food
LOU,Took nour^ish^ment
LOW,"Great _, extinct bird"
LOX,Heavy-bodied seabird
LPP,Northern seabird
LSD,Short-winged coastal bird
LSE,"Short-winged, heavy-bodied bird"
LSO,Stubby-winged seabird
LTD,"_ Gardner, 1950s actress"
LUC,"_ Gardner, Hollywood actress"
LUG,"_ Gardner, movie legend"
LUX,"_ Gardner, 1950s screen goddess"
LYE,"_ Gardner, star of <i>Mogambo</i> and <i>The Barefoot Contessa</i>"
LYN,"_ Gardner, star of <i>The Barefoot Contessa</i>"
MAA,"_ <i>Maria</i>, hymn"
MAB,Roman greeting
MAC,"_ <i>Maria</i>, prayer"
MAD,Amazement
MAE,Fear
MAI,Fear-cum-wonder
MAL,Fearful respect
MAN,Great wonder
MAO,Reverence
MAP,Rev^er^en^tial fear
MAR,Rev^er^en^tial wonder
MAT,Veneration
MAW,Wonder
MAX,Wonderment
MAY,Car^pen^ter's tool
MBE,Cobbler's tool
MCC,Hole-boring tool
MDF,Hole-making tool
MED,Hole-piercing tool
MEG,Im^ple^ment for boring small holes
MEL,Pointed boring tool
MEN,Shoe^maker's tool
MEO,Small boring tool
MEP,Tool for boring small holes
MER,Tool for making holes
MET,Barley beard
MEW,Barley bristle
MFI,Beard of barley
MGB,Chop
MGM,Chopper
MIA,Chopping im^ple^ment
MID,Chopping tool
MIL,Cleaver
MIR,Cut down
MIX,Devon river flowing into Seaton Bay
MOA,Discontinue
MOB,For^est^er's tool
MOD,Hatchet
MOE,Lum^ber^jack's tool
MOI,SE Devon river
MOM,South-east Devon river
MOO,Suddenly dis^con^tinue
MOP,Tomahawk
MOS,Tool for chopping
MOT,Wood-chopper
MOW,Wood^cut^ter's tool
MPH,Wood^cut^ting tool
MRI,Woodman's im^ple^ment
MRS,For always
MSG,Old 'yes'
MTV,Old word for 'yes'
MUD,Yes vote
MUG,Port in SW Scotland
MUM,Racecourse where the Scottish Grand National is run
NAB,SW Scotland town
NAE,Scottish football team
NAG,Scottish race^course
NAN,Scottish race^course town
NAP,Scottish town
NAS,Town near Prestwick Airport
NAT,Town south of Troon
NAY,Bleat of a sheep
NBA,Noise made by a sheep
NBC,Sheep's bleat
NCO,Sheep's noise
NEB,"<i>The Good, the _ and the Ugly</i>, 1966 western"
NEC,Corrupt
NED,Detrimental
NEE,Evil
NEO,Nasty
NET,Naughty
NEW,Opposite of 'good'
NHS,Rotten
NIA,Wicked
NIB,Carrier
NIL,Catch (game)
NIN,Holdall
NIP,Paper sack
NIT,Plastic carrier
NIX,Plastic con^tain^er for shopping
NKI,"Satchel, holdall"
NOB,Shopping carrier
NOD,Shopping con^tain^er
NOG,"_ humbug!, Scrooge's comment on Christmas"
NOH,Cry of contempt
NON,Ex^clam^ation of disgust
NOR,Embargo
NOT,Forbid
NOU,Outlaw
NOW,Prohibit
NSW,Prohibition
NUB,Put a stop to
NUL,Veto
NUN,Bread roll
NUT,Flat bread roll
NYE,Soft bread roll
OAF,Block (of choc^olate)
OAK,Cake (of soap)
OAP,Col^lect^ive word for advocates
OAR,Counter
OAT,Drinking venue
OBE,Drinks counter
OBI,"Hinder, obstruct"
OBS,Metal rod
OCA,Prohibit
OCH,Pub counter
ODD,Pub room
ODE,Rail
OER,Rod
OFF,Saloon
OFT,Unit of at^mos^pher^ic pressure
OHM,Cricket im^ple^ment
OIK,Crick^et^er's im^ple^ment
OIL,Flying mammal
OJO,Nocturnal creature
OKA,Nocturnal flying animal
OLA,Nocturnal flying mammal
OLD,Play at the wicket in cricket
OLE,Rounders stick
OLI,Small flying animal
OMD,Small flying mammal
OMO,Stick used in cricket
ONE,Alcove-forming window
ONG,"Botany _, waters off Australia"
ONO,Coastal inlet
OOD,Cove
OPS,Creek
OPT,Howl (of a dog)
ORA,Inlet
ORB,Inward seashore curve
ORC,Parking space
ORE,Reddish-brown horse
ORK,Sea inlet
OTI,Sweeping cove
OTT,Design of window
OUI,Window forming a recess
OUR,"_ City Rollers, 1970s pop group"
OUT,First TV company
OVA,Media company founded in 1922
OWE,TV and radio company
OWL,TV and radio or^gan^isa^tion
OWN,"Television company, affectionately known as Auntie"
OWT,UK TV company
OXO,Prince Andrew's daughter
OYL,Prince Andrew's elder daughter
PAD,Bottom (of the river)
PAL,Bottom (of the sea)
PAM,Cot
PAN,Couch
PAP,Divan
PAR,Four-poster
PAS,Garden plot
PAT,Place for sleeping
PAW,Place to sleep
PAX,Resting place
PAY,Sea or lake bottom
PDA,Sleeping place
PEA,Some^thing to sleep on
PEG,Busy buzzer!
PEN,Buzzing insect
PEP,Creature said to be busy
PER,"Drone, queen or honey, for example"
PET,Hive dweller
PEW,Hive-dwelling insect
PGA,Honey producer
PHD,Honey-maker
PHI,Honey-making insect
PHO,Honey-producing insect
PIE,In^dus^tri^ous insect
PIG,Insect as^so^ci^ated with busyness
PIN,US spelling contest
PIP,Stinging insect
PIT,Striped insect
PIX,Ask for alms
PLC,Entreat
PLO,Implore
PLY,Plead
POD,Plead for money
POE,Measure of noise intensity
POL,"Big _, West^min^ster landmark"
POM,"_ Elton, comedy writer and novelist"
POP,"_ Elton, comedian"
POT,"_ Kingsley, actor"
POW,"_ Nevis, Scottish peak"
PRE,"_ Nevis, Scottish mountain"
PRO,Gamble
PRY,Have a flutter
PSI,Have a wager
PSY,Place a wager
PTO,Place money on a racehorse
PUB,Risk money on the outcome of an event
PUD,Stake
PUG,Wager
PUN,"_ Gilroy, <i>Coronation Street</i>'s one-time landlady"
PUP,Tunisian ruler
PUT,Turkish governor
PUY,Infant's apron
PVC,Infant's chin-cloth
PYE,"Best _ and tucker, smartest clothes"
PYM,Child's napkin
PYO,Cloth put under a child's chin
PYS,Front part of overalls
PYT,Brand-name ballpoint pen
PYX,Brand-name biro
QED,Auction offer
QPR,Bridge call
QUA,Call in card games
QUE,Make an offer of
QUO,Offer
RAB,Offer at an auction
RAC,Tender
RAD,1988 Tom Hanks comedy film
RAE,1988 Tom Hanks film
RAF,"<i>The _ Sleep</i>, 1946 thriller"
RAG,"<i>The _ Sleep</i>, Bogart film"
RAH,"<i>The _ Sleep</i>, Philip Marlowe mystery"
RAI,Enormous
RAJ,Great
RAM,Hefty
RAN,Large
RAP,Opposite of 'small'
RAS,Sizeable
RAT,"_ dipper, fair^ground ride"
RAV,Garbage can
RAW,Re^cep^tacle for litter
RAY,Rubbish con^tain^er
REA,Rubbish re^cep^tacle
RED,Throw away
REE,Trash can
REF,Waste con^tain^er
REG,Wine stand
REM,French word for encore
REN,"Twice, in music"
REO,Morsel
REP,Part
RES,Part of a bridle
RET,Part of a drill
REV,Part of the bridle that goes in a horse's mouth
REX,Portion
RHO,Scrap
RHS,Section
RIA,Small amount
RIB,Small piece
RIC,"_ part, small acting role"
RID,"_ Bei^der^becke, jazz musician"
RIG,Doctors' group
RIK,Doctors' or^gan^isa^tion
RIM,Car maker
RIO,Car maker of the 318i
RIP,German car make
RIT,German car manu^fac^turer
RIX,Cycle designed for stunt-riding
RKO,Con^strict^ing snake
RLS,Feather scarf
RMA,Fea^thered scarf
ROB,Feathery scarf
ROC,Large snake that kills by crushing
ROD,Large snake which crushes its prey
ROE,Long coil of feathers worn around the neck
ROI,One of the restrictor snakes which can reach thirty feet in length
ROM,Snake that kills its prey by crushing
RON,"_ con^strict^or, snake"
ROO,"_ constrictor, South American snake"
ROS,Bounce (in water)
ROT,Slang word for an old shilling
ROW,Move up and down
ROY,Quick curtsy
RPA,Shilling
RSC,Short haircut
RSI,Slang for 'shilling'
RSL,Slang word for 'shilling'
RTE,"_ Dylan, US singer/song^writer"
RUB,"_ Dylan, singer"
RUE,"_ Fosse, <i>Cabaret</i> director"
RUG,"_ Geldof, Band Aid or^gan^iser"
RUM,"_ Hope, <i>Road to</i> films star"
RUN,"_ Hoskins, <i>Mona Lisa</i> actor"
RUT,"_ Hoskins, British actor"
RYE,"_ Marley, reggae singer"
SAC,Bloke
SAD,"Fellow, bloke"
SAE,Marshy area
SAG,Peaty ground
SAI,Peaty land
SAL,Wet spongy ground
SAM,Audi^ence's cry of dis^ap^proval
SAN,Cry of dis^ap^proval
SAO,Noise of dis^ap^proval
SAP,Shout of dis^ap^proval
SAS,Shout of dis^pleas^ure
SAT,Voice dis^ap^proval
SAW,1950s dance music
SAX,"<i>Be _ a Lula</i>, Gene Vincent song"
SAY,"<i>Be _ a Lula</i>, song"
SBS,Archer's im^ple^ment
SDP,Archer's weapon
SEA,Arrow-firing weapon
SEB,Bend from the waist
SEC,Bend (to show respect)
SEE,"Clara _, the 'It' girl of the 1920s"
SEG,Dec^ora^tive ribbon
SEN,Dec^ora^tively tied ribbon
SET,Fancy knot
SEW,Front of a boat
SEX,Front of a ship
SHE,Front part of a ship
SHY,Implement used by a fiddler or an archer
SIA,Knot made with loops
SIB,Lower the head
SIC,Lower the head in greeting
SID,Robin Hood's weapon
SIM,Shoelace knot
SIN,Violin rod
SIP,Cardboard con^tain^er
SIR,Carton
SIS,Container
SIT,Con^tain^er for toys
SIX,Crate
SKA,Cuboid con^tain^er
SKI,Fight in a ring
SKY,"Fight with fists, in a ring"
SLY,Put in con^tainers
SNP,Rigid con^tain^er
SOB,Spar
SOD,"<i>Danny</i> _, Irish folk song"
SOH,Lad
SOL,Male child
SON,Male youngster
SOO,Young lad
SOP,Young male
SOS,Young male person
SOT,"_ George, 1980s pop singer"
SOU,Berlei garment?
SOW,Cupped under^gar^ment
SOX,Female under^gar^ment
SOY,Lady's under^gar^ment
SPA,Lingerie item
SPY,Under^gar^ment
SRI,Under^gar^ment with straps
STE,Under^wear item
STY,Undies item
SUB,Woman's under^wear item
SUE,Immature leaf
SUI,Part of a plant
SUK,Ru^di^men^tary plant shoot
SUM,Ru^di^men^tary shoot
SUN,Shoot of a plant
SUP,Unopened flower
SUR,Young flower or leaf
SYD,Young leaf
TAB,"_ Abbott and Lou Costello, comedy duo"
TAD,"_ Abbott, 1940s film comedian"
TAG,"_ Abbott, Lou Costello's comedy partner"
TAI,"_ Flanagan, music-hall comedian"
TAJ,Germ
TAM,Hidden micro^phone
TAN,Insect
TAO,"Insect, fa^mil^iar^ly"
TAP,Secret lis^ten^ing device
TAR,Tiny lis^ten^ing device
TAT,Virus
TAU,Variety of sweet cake
TAW,Currant cake
TAX,Round sweet cake
TAY,Rounded clump of hair
TCP,Rounded mass of hair
TEA,Small cake
TED,Sweet cake
TEE,"_ <i>Stop</i>, Hollies hit"
TEG,Double-decker
TEL,"Large vehicle, red in London"
TEN,Long-bodied public trans^port vehicle
TET,Mode of road trans^port
TEX,PSV
TEY,Passenger-carrying vehicle
TGV,Public trans^port vehicle
THE,Public vehicle
THY,"_ <i>Stop</i>, Marilyn Monroe film"
TIA,Even so
TIC,Except
TID,However
TIE,Nevertheless
TIM,On the other hand
TIN,"Yet, however"
TIO,"<i>Can't _ Me Love</i>, Beatles hit"
TIP,Acquire with money
TIS,Obtain for money
TIT,Pay for
TLC,Purchase
TNT,Brief farewell?
TOD,Cheerio
TOE,Direct transfer to the next round
TOG,Cricket extra
TOM,Cricket run by default
TON,Extra cricket run
TOO,Free passage through a contest
TOP,"In cricket, a run from a ball bowled but not struck"
TOR,Ta-ta!
TOT,Term of farewell
TOW,Driver's compart^ment
TOY,Driver's place in a lorry
TRI,Hailed vehicle?
TRY,Lorry driver's compart^ment
TUB,Taxi
TUC,Truck driver's compart^ment
TUG,Trucker's compart^ment
TUI,Blackguard
TUM,Bounder
TUN,Dis^hon^our^able fellow
TUP,Rogue
TUT,Rotter
TWI,"Rotter, bounder"
TWO,Scoundrel
TYR,James Dean's <i>East of Eden</i> character
UDI,British river also known as the Granta
UFO,East Anglian river
UGG,East Anglian river also known as the Granta
UGH,English river
UGT,Pro^ject^ing part on a wheel
